"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifica que el usuario admin pueda iniciar sesión con credenciales válidas","484","LoginCorrecto_Admin","Suite Login","Sun Apr 06 04:58:27 ART 2025","failed","Sun Apr 06 04:58:28 ART 2025","login.LoginTests","Tests de Login","login.LoginTests","LoginCorrecto_Admin"
"Verifica que el usuario admin pueda iniciar sesión con credenciales válidas","387","LoginCorrecto_Admin","Default Suite","Sun Apr 06 01:09:10 ART 2025","failed","Sun Apr 06 01:09:10 ART 2025","login.Arbol_Login","selenium-IntelliJIDEA","login.Arbol_Login","LoginCorrecto_Admin"
"Verifica que aparezca un mensaje de error si se completa solo el campo usuario","10073","LoginSoloUsuario","Default Suite","Sat Apr 05 22:31:32 ART 2025","broken","Sat Apr 05 22:31:42 ART 2025","login.Arbol_Login","selenium-IntelliJIDEA","login.Arbol_Login","LoginSoloUsuario"
"Verifica que aparezca un mensaje de error al dejar ambos campos vacíos","10071","LoginCamposVacios","Default Suite","Sat Apr 05 22:31:21 ART 2025","broken","Sat Apr 05 22:31:32 ART 2025","login.Arbol_Login","selenium-IntelliJIDEA","login.Arbol_Login","LoginCamposVacios"
"Verifica que aparezca un mensaje de error al ingresar una contraseña incorrecta","1798","LoginPasswordIncorrecto","Suite Login","Sun Apr 06 04:58:28 ART 2025","broken","Sun Apr 06 04:58:30 ART 2025","login.LoginTests","Tests de Login","login.LoginTests","LoginPasswordIncorrecto"
"Verifica que aparezca un mensaje de error al ingresar una contraseña incorrecta","2316","LoginPasswordIncorrecto","Default Suite","Sun Apr 06 01:09:10 ART 2025","broken","Sun Apr 06 01:09:12 ART 2025","login.Arbol_Login","selenium-IntelliJIDEA","login.Arbol_Login","LoginPasswordIncorrecto"
"Verifica que aparezca un mensaje de error al ingresar un nombre de usuario incorrecto","10079","LoginUsuarioIncorrecto","Default Suite","Sun Apr 06 01:09:12 ART 2025","broken","Sun Apr 06 01:09:22 ART 2025","login.Arbol_Login","selenium-IntelliJIDEA","login.Arbol_Login","LoginUsuarioIncorrecto"
