"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Login","2","Validaciones del formulario de inicio de sesión","0","0","Inicio de sesión exitoso","0"
"1","Login","0","Validaciones del formulario de inicio de sesión","0","0","Solo usuario cargado","0"
"1","Login","0","Validaciones del formulario de inicio de sesión","0","0","Campos vacíos","0"
"2","Login","0","Validaciones del formulario de inicio de sesión","0","0","Password incorrecta","0"
"1","Login","0","Validaciones del formulario de inicio de sesión","0","0","Usuario incorrecto","0"
