"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifica que aparezca un mensaje de error al dejar ambos campos vacíos","10042","LoginCamposVacios","Surefire suite","Thu Apr 10 11:09:17 ART 2025","broken","Thu Apr 10 11:09:27 ART 2025","login.LoginTests","Surefire test","login.LoginTests","LoginCamposVacios"
"Verifica que aparezca un mensaje de error al ingresar un nombre de usuario incorrecto","10073","LoginUsuarioIncorrecto","Surefire suite","Thu Apr 10 11:09:07 ART 2025","broken","Thu Apr 10 11:09:17 ART 2025","login.LoginTests","Surefire test","login.LoginTests","LoginUsuarioIncorrecto"
"Verifica que el usuario admin pueda iniciar sesión con credenciales válidas","389","LoginCorrecto_Admin","Surefire suite","Thu Apr 10 11:09:04 ART 2025","failed","Thu Apr 10 11:09:04 ART 2025","login.LoginTests","Surefire test","login.LoginTests","LoginCorrecto_Admin"
"Verifica que aparezca un mensaje de error al ingresar una contraseña incorrecta","1983","LoginPasswordIncorrecto","Surefire suite","Thu Apr 10 11:09:05 ART 2025","broken","Thu Apr 10 11:09:07 ART 2025","login.LoginTests","Surefire test","login.LoginTests","LoginPasswordIncorrecto"
"Verifica que aparezca un mensaje de error si se completa solo el campo usuario","10015","LoginSoloUsuario","Surefire suite","Thu Apr 10 11:09:27 ART 2025","broken","Thu Apr 10 11:09:37 ART 2025","login.LoginTests","Surefire test","login.LoginTests","LoginSoloUsuario"
"Verifica que aparezca un mensaje de error si se completa solo el campo contraseña","10057","LoginSoloPassword","Surefire suite","Thu Apr 10 11:09:37 ART 2025","broken","Thu Apr 10 11:09:47 ART 2025","login.LoginTests","Surefire test","login.LoginTests","LoginSoloPassword"
