"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifica que aparezca un mensaje de error al ingresar un nombre de usuario incorrecto","10012","LoginUsuarioIncorrecto","Surefire suite","Sun Apr 06 21:57:36 ART 2025","broken","Sun Apr 06 21:57:46 ART 2025","login.LoginTests","Surefire test","login.LoginTests","LoginUsuarioIncorrecto"
"Verifica que el usuario admin pueda iniciar sesión con credenciales válidas","330","LoginCorrecto_Admin","Surefire suite","Sun Apr 06 21:57:23 ART 2025","failed","Sun Apr 06 21:57:23 ART 2025","login.LoginTests","Surefire test","login.LoginTests","LoginCorrecto_Admin"
"Verifica que aparezca un mensaje de error si se completa solo el campo usuario","10050","LoginSoloUsuario","Surefire suite","Sun Apr 06 21:57:56 ART 2025","broken","Sun Apr 06 21:58:06 ART 2025","login.LoginTests","Surefire test","login.LoginTests","LoginSoloUsuario"
"Verifica que aparezca un mensaje de error al dejar ambos campos vacíos","10062","LoginCamposVacios","Surefire suite","Sun Apr 06 21:57:46 ART 2025","broken","Sun Apr 06 21:57:56 ART 2025","login.LoginTests","Surefire test","login.LoginTests","LoginCamposVacios"
"Verifica que aparezca un mensaje de error al ingresar una contraseña incorrecta","12633","LoginPasswordIncorrecto","Surefire suite","Sun Apr 06 21:57:23 ART 2025","broken","Sun Apr 06 21:57:36 ART 2025","login.LoginTests","Surefire test","login.LoginTests","LoginPasswordIncorrecto"
"Verifica que aparezca un mensaje de error si se completa solo el campo contraseña","10036","LoginSoloPassword","Surefire suite","Sun Apr 06 21:58:06 ART 2025","broken","Sun Apr 06 21:58:16 ART 2025","login.LoginTests","Surefire test","login.LoginTests","LoginSoloPassword"
