"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifica que aparezca un mensaje de error al ingresar una contraseña incorrecta","2104","LoginPasswordIncorrecto","Surefire suite","Thu Apr 10 18:29:11 ART 2025","broken","Thu Apr 10 18:29:13 ART 2025","login.LoginTests","Surefire test","login.LoginTests","LoginPasswordIncorrecto"
"Verifica que aparezca un mensaje de error al ingresar un nombre de usuario incorrecto","10062","LoginUsuarioIncorrecto","Surefire suite","Thu Apr 10 18:29:13 ART 2025","broken","Thu Apr 10 18:29:23 ART 2025","login.LoginTests","Surefire test","login.LoginTests","LoginUsuarioIncorrecto"
"Verifica que aparezca un mensaje de error al dejar ambos campos vacíos","10019","LoginCamposVacios","Surefire suite","Thu Apr 10 18:29:23 ART 2025","broken","Thu Apr 10 18:29:33 ART 2025","login.LoginTests","Surefire test","login.LoginTests","LoginCamposVacios"
"Verifica que aparezca un mensaje de error si se completa solo el campo contraseña","10019","LoginSoloPassword","Surefire suite","Thu Apr 10 18:29:43 ART 2025","broken","Thu Apr 10 18:29:53 ART 2025","login.LoginTests","Surefire test","login.LoginTests","LoginSoloPassword"
"Verifica que aparezca un mensaje de error si se completa solo el campo usuario","10065","LoginSoloUsuario","Surefire suite","Thu Apr 10 18:29:33 ART 2025","broken","Thu Apr 10 18:29:43 ART 2025","login.LoginTests","Surefire test","login.LoginTests","LoginSoloUsuario"
"Verifica que el usuario admin pueda iniciar sesión con credenciales válidas","593","LoginCorrecto_Admin","Surefire suite","Thu Apr 10 18:29:10 ART 2025","failed","Thu Apr 10 18:29:11 ART 2025","login.LoginTests","Surefire test","login.LoginTests","LoginCorrecto_Admin"
