"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifica que aparezca un mensaje de error si se completa solo el campo contraseña","6","LoginSoloPassword","Default Suite","Mon Apr 14 23:13:21 ART 2025","skipped","Mon Apr 14 23:13:21 ART 2025","login.LoginTests","selenium-IntelliJIDEA","login.LoginTests","LoginSoloPassword"
"Verifica que aparezca un mensaje de error al dejar ambos campos vacíos","0","LoginCamposVacios","Default Suite","Mon Apr 14 23:13:21 ART 2025","skipped","Mon Apr 14 23:13:21 ART 2025","login.LoginTests","selenium-IntelliJIDEA","login.LoginTests","LoginCamposVacios"
"Verifica que aparezca un mensaje de error al ingresar una contraseña incorrecta","1","LoginPasswordIncorrecto","Default Suite","Mon Apr 14 23:13:21 ART 2025","skipped","Mon Apr 14 23:13:21 ART 2025","login.LoginTests","selenium-IntelliJIDEA","login.LoginTests","LoginPasswordIncorrecto"
"Verifica que aparezca un mensaje de error al ingresar un nombre de usuario incorrecto","1","LoginUsuarioIncorrecto","Default Suite","Mon Apr 14 23:13:21 ART 2025","skipped","Mon Apr 14 23:13:21 ART 2025","login.LoginTests","selenium-IntelliJIDEA","login.LoginTests","LoginUsuarioIncorrecto"
"Verifica que el usuario admin pueda iniciar sesión con credenciales válidas","333","LoginCorrecto_Admin","Default Suite","Mon Apr 14 23:13:21 ART 2025","failed","Mon Apr 14 23:13:21 ART 2025","login.LoginTests","selenium-IntelliJIDEA","login.LoginTests","LoginCorrecto_Admin"
"Verifica que aparezca un mensaje de error si se completa solo el campo usuario","1","LoginSoloUsuario","Default Suite","Mon Apr 14 23:13:21 ART 2025","skipped","Mon Apr 14 23:13:21 ART 2025","login.LoginTests","selenium-IntelliJIDEA","login.LoginTests","LoginSoloUsuario"
