"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifica que aparezca un mensaje de error al ingresar un nombre de usuario incorrecto","10065","LoginUsuarioIncorrecto","Surefire suite","Mon Apr 14 13:39:42 ART 2025","broken","Mon Apr 14 13:39:52 ART 2025","login.LoginTests","Surefire test","login.LoginTests","LoginUsuarioIncorrecto"
"Verifica que aparezca un mensaje de error si se completa solo el campo usuario","10041","LoginSoloUsuario","Surefire suite","Mon Apr 14 13:40:02 ART 2025","broken","Mon Apr 14 13:40:12 ART 2025","login.LoginTests","Surefire test","login.LoginTests","LoginSoloUsuario"
"Verifica que aparezca un mensaje de error al ingresar una contraseña incorrecta","2292","LoginPasswordIncorrecto","Surefire suite","Mon Apr 14 13:39:40 ART 2025","broken","Mon Apr 14 13:39:42 ART 2025","login.LoginTests","Surefire test","login.LoginTests","LoginPasswordIncorrecto"
"Verifica que aparezca un mensaje de error al dejar ambos campos vacíos","10042","LoginCamposVacios","Surefire suite","Mon Apr 14 13:39:52 ART 2025","broken","Mon Apr 14 13:40:02 ART 2025","login.LoginTests","Surefire test","login.LoginTests","LoginCamposVacios"
"Verifica que aparezca un mensaje de error si se completa solo el campo contraseña","10030","LoginSoloPassword","Surefire suite","Mon Apr 14 13:40:13 ART 2025","broken","Mon Apr 14 13:40:23 ART 2025","login.LoginTests","Surefire test","login.LoginTests","LoginSoloPassword"
"Verifica que el usuario admin pueda iniciar sesión con credenciales válidas","2708","LoginCorrecto_Admin","Surefire suite","Mon Apr 14 13:39:37 ART 2025","failed","Mon Apr 14 13:39:40 ART 2025","login.LoginTests","Surefire test","login.LoginTests","LoginCorrecto_Admin"
